,Cost of Single Family Home,Zip Code,Rental Prices
0,208300.0,29001,0.0
1,208300.0,29003,0.0
2,80700.0,29009,0.0
3,208300.0,29010,0.0
4,208300.0,29014,0.0
5,87800.0,29015,0.0
6,229700.0,29016,0.0
7,81000.0,29018,0.0
8,110400.0,29020,0.0
9,208300.0,29030,0.0
10,208300.0,29031,0.0
11,68200.0,29032,0.0
12,111600.0,29033,0.0
13,209000.0,29036,0.0
14,208300.0,29037,0.0
15,83600.0,29038,0.0
16,75300.0,29039,0.0
17,106700.0,29040,0.0
18,208300.0,29042,0.0
19,92400.0,29044,0.0
20,208300.0,29047,0.0
21,126300.0,29048,0.0
22,208300.0,29051,0.0
23,82300.0,29052,0.0
24,208300.0,29053,0.0
25,144000.0,29054,0.0
26,208300.0,29055,0.0
27,208300.0,29056,0.0
28,117800.0,29058,0.0
29,103100.0,29059,0.0
30,114100.0,29061,0.0
31,146100.0,29063,1175.0
32,208300.0,29065,0.0
33,85200.0,29067,0.0
34,78900.0,29069,0.0
35,201300.0,29072,1378.75
36,128600.0,29073,1135.0
37,208300.0,29075,0.0
38,122400.0,29078,0.0
39,80500.0,29080,0.0
40,208300.0,29081,0.0
41,208300.0,29082,0.0
42,102800.0,29102,0.0
43,74700.0,29104,0.0
44,208300.0,29105,0.0
45,208300.0,29108,0.0
46,208300.0,29111,0.0
47,208300.0,29113,0.0
48,81000.0,29114,0.0
49,71500.0,29115,0.0
50,208300.0,29117,0.0
51,119900.0,29118,0.0
52,208300.0,29123,0.0
53,75500.0,29125,0.0
54,208300.0,29126,0.0
55,208300.0,29127,0.0
56,67200.0,29128,0.0
57,82300.0,29129,0.0
58,208300.0,29130,0.0
59,208300.0,29133,0.0
60,208300.0,29135,0.0
61,73400.0,29137,0.0
62,208300.0,29138,0.0
63,110200.0,29142,0.0
64,208300.0,29145,0.0
65,65800.0,29146,0.0
66,78600.0,29150,0.0
67,83400.0,29153,0.0
68,117100.0,29154,1050.0
69,91300.0,29160,0.0
70,110500.0,29161,0.0
71,208300.0,29162,0.0
72,208300.0,29163,0.0
73,79600.0,29168,0.0
74,127300.0,29169,975.0
75,120700.0,29172,0.0
76,208300.0,29175,0.0
77,208300.0,29178,0.0
78,208300.0,29180,0.0
79,147300.0,29201,0.0
80,70600.0,29203,850.0
81,114800.0,29204,990.0
82,209800.0,29205,1137.5
83,220400.0,29206,0.0
84,208300.0,29208,0.0
85,127900.0,29209,1057.5
86,124200.0,29210,940.0
87,163500.0,29212,1198.75
88,208300.0,29214,0.0
89,208300.0,29215,0.0
90,208300.0,29216,0.0
91,208300.0,29217,0.0
92,208300.0,29218,0.0
93,208300.0,29219,0.0
94,208300.0,29220,0.0
95,208300.0,29222,0.0
96,118700.0,29223,1135.0
97,208300.0,29225,0.0
98,208300.0,29226,0.0
99,208300.0,29227,0.0
100,146600.0,29229,1271.25
101,123000.0,29301,0.0
102,142900.0,29302,0.0
103,88400.0,29303,0.0
104,84600.0,29306,0.0
105,142900.0,29307,0.0
106,144300.0,29316,0.0
107,208300.0,29318,0.0
108,208300.0,29319,0.0
109,208300.0,29321,0.0
110,174600.0,29322,0.0
111,125900.0,29323,0.0
112,208300.0,29325,0.0
113,91900.0,29330,0.0
114,208300.0,29332,0.0
115,157600.0,29334,0.0
116,97600.0,29335,0.0
117,81100.0,29340,0.0
118,107500.0,29341,0.0
119,151600.0,29349,0.0
120,208300.0,29351,0.0
121,208300.0,29353,0.0
122,208300.0,29355,0.0
123,166700.0,29356,0.0
124,208300.0,29360,0.0
125,148400.0,29365,0.0
126,163900.0,29369,0.0
127,208300.0,29370,0.0
128,87300.0,29372,0.0
129,151200.0,29374,0.0
130,153100.0,29376,0.0
131,208300.0,29379,0.0
132,173000.0,29384,0.0
133,110100.0,29385,0.0
134,208300.0,29390,0.0
135,208300.0,29391,0.0
136,208300.0,29395,0.0
137,1506800.0,29401,3250.0
138,412600.0,29403,2500.0
139,131900.0,29405,0.0
140,303100.0,29407,1575.0
141,208300.0,29409,0.0
142,229300.0,29410,0.0
143,336600.0,29412,1637.5
144,208300.0,29418,1362.5
145,181600.0,29420,1485.0
146,208300.0,29424,0.0
147,208300.0,29425,0.0
148,208300.0,29426,0.0
149,392400.0,29429,0.0
150,154400.0,29431,0.0
151,78900.0,29432,0.0
152,208300.0,29434,0.0
153,115700.0,29435,0.0
154,136800.0,29436,0.0
155,158400.0,29437,0.0
156,208300.0,29446,0.0
157,153500.0,29448,0.0
158,319000.0,29449,0.0
159,217900.0,29450,0.0
160,888200.0,29451,0.0
161,208300.0,29453,0.0
162,169400.0,29456,1495.0
163,274100.0,29458,0.0
164,202400.0,29461,1450.0
165,490500.0,29464,2175.0
166,455400.0,29466,2142.5
167,148600.0,29468,0.0
168,208300.0,29469,0.0
169,137600.0,29471,0.0
170,184700.0,29472,0.0
171,208300.0,29474,0.0
172,208300.0,29475,0.0
173,157300.0,29477,0.0
174,150000.0,29479,0.0
175,208300.0,29481,0.0
176,1876000.0,29482,0.0
177,208300.0,29486,0.0
178,100700.0,29488,0.0
179,480500.0,29492,1700.0
180,140800.0,29501,0.0
181,95600.0,29510,0.0
182,145500.0,29511,0.0
183,208300.0,29512,0.0
184,208300.0,29516,0.0
185,208300.0,29518,0.0
186,208300.0,29520,0.0
187,208300.0,29525,0.0
188,168600.0,29526,0.0
189,139500.0,29527,0.0
190,91400.0,29530,0.0
191,71900.0,29532,0.0
192,208300.0,29536,0.0
193,77300.0,29540,0.0
194,208300.0,29543,0.0
195,139700.0,29544,0.0
196,208300.0,29545,0.0
197,208300.0,29546,0.0
198,208300.0,29547,0.0
199,87600.0,29550,0.0
200,88300.0,29555,0.0
201,208300.0,29556,0.0
202,87800.0,29560,0.0
203,208300.0,29563,0.0
204,208300.0,29564,0.0
205,208300.0,29565,0.0
206,185600.0,29566,0.0
207,208300.0,29567,0.0
208,138800.0,29569,0.0
209,208300.0,29570,0.0
210,208300.0,29571,0.0
211,208300.0,29574,0.0
212,225900.0,29575,0.0
213,259200.0,29576,0.0
214,208300.0,29580,0.0
215,111500.0,29581,0.0
216,275500.0,29582,0.0
217,86900.0,29583,0.0
218,208300.0,29584,0.0
219,335500.0,29585,0.0
220,176000.0,29588,1475.0
221,208300.0,29590,0.0
222,87500.0,29591,0.0
223,208300.0,29592,0.0
224,208300.0,29593,0.0
225,208300.0,29596,0.0
226,252200.0,29601,1250.0
227,144400.0,29605,1198.75
228,196500.0,29607,1350.0
229,196600.0,29609,1261.25
230,101000.0,29611,0.0
231,208300.0,29613,0.0
232,208300.0,29614,0.0
233,249400.0,29615,1375.0
234,133800.0,29617,0.0
235,160600.0,29621,0.0
236,65800.0,29624,0.0
237,133800.0,29625,0.0
238,111000.0,29626,0.0
239,93800.0,29627,0.0
240,208300.0,29628,0.0
241,143300.0,29630,0.0
242,224700.0,29631,0.0
243,208300.0,29632,0.0
244,208300.0,29634,0.0
245,208200.0,29635,0.0
246,208300.0,29638,0.0
247,208300.0,29639,0.0
248,133700.0,29640,0.0
249,182600.0,29642,0.0
250,181000.0,29643,0.0
251,154800.0,29644,0.0
252,133600.0,29645,0.0
253,74000.0,29646,0.0
254,208300.0,29647,0.0
255,116900.0,29649,0.0
256,218300.0,29650,1506.25
257,170800.0,29651,0.0
258,208300.0,29653,0.0
259,90200.0,29654,0.0
260,75200.0,29655,0.0
261,126900.0,29657,0.0
262,208300.0,29658,0.0
263,140800.0,29661,0.0
264,172700.0,29662,0.0
265,139300.0,29664,0.0
266,208300.0,29666,0.0
267,208300.0,29667,0.0
268,120600.0,29669,0.0
269,132500.0,29670,0.0
270,143600.0,29671,0.0
271,239400.0,29672,0.0
272,144800.0,29673,0.0
273,239900.0,29676,0.0
274,136700.0,29678,0.0
275,193200.0,29680,1520.0
276,232200.0,29681,1595.0
277,216100.0,29682,0.0
278,82500.0,29684,0.0
279,629800.0,29685,0.0
280,208300.0,29686,0.0
281,170800.0,29687,1260.0
282,168900.0,29689,0.0
283,179000.0,29690,0.0
284,130200.0,29691,0.0
285,208300.0,29692,0.0
286,137800.0,29693,0.0
287,208300.0,29695,0.0
288,154900.0,29696,0.0
289,119300.0,29697,0.0
290,208300.0,29698,0.0
291,93400.0,29702,0.0
292,170100.0,29704,0.0
293,208300.0,29706,0.0
294,278800.0,29707,0.0
295,320200.0,29708,1900.0
296,204600.0,29710,0.0
297,208300.0,29712,0.0
298,208300.0,29714,0.0
299,225400.0,29715,0.0
300,136900.0,29717,0.0
301,208300.0,29718,0.0
302,121700.0,29720,0.0
303,208300.0,29722,0.0
304,154900.0,29726,0.0
305,112400.0,29729,0.0
306,147300.0,29730,0.0
307,185700.0,29732,1117.5
308,208300.0,29733,0.0
309,208300.0,29734,0.0
310,135200.0,29742,0.0
311,130400.0,29743,0.0
312,170700.0,29745,0.0
313,94700.0,29801,0.0
314,156900.0,29803,1050.0
315,107800.0,29805,0.0
316,208300.0,29808,0.0
317,71100.0,29809,0.0
318,208300.0,29810,0.0
319,208300.0,29812,0.0
320,208300.0,29817,0.0
321,208300.0,29819,0.0
322,208300.0,29821,0.0
323,208300.0,29824,0.0
324,208300.0,29827,0.0
325,208300.0,29828,0.0
326,116400.0,29829,0.0
327,86400.0,29831,0.0
328,208300.0,29835,0.0
329,208300.0,29836,0.0
330,208300.0,29838,0.0
331,208300.0,29840,0.0
332,113400.0,29841,900.0
333,208300.0,29843,0.0
334,208300.0,29845,0.0
335,208300.0,29847,0.0
336,208300.0,29848,0.0
337,208300.0,29849,0.0
338,77500.0,29851,0.0
339,208300.0,29853,0.0
340,80600.0,29856,0.0
341,208300.0,29899,0.0
342,283800.0,29909,0.0
343,293000.0,29910,1648.75
344,208300.0,29911,0.0
345,208300.0,29912,0.0
346,546600.0,29915,0.0
347,208300.0,29916,0.0
348,208300.0,29918,0.0
349,208300.0,29922,0.0
350,208300.0,29924,0.0
351,448600.0,29926,0.0
352,147400.0,29927,0.0
353,755700.0,29928,0.0
354,208300.0,29929,0.0
355,171800.0,29935,0.0
356,208300.0,29936,0.0
357,230300.0,29940,0.0
358,208300.0,29941,0.0
359,208300.0,29943,0.0
360,208300.0,29944,0.0
361,208300.0,29945,0.0
